Pseudo,Title,Review,Rating,Verified Purchase,Date,Score,Compound,Sentiment,New rating,New date,Country
Assault Kittens,really good option portability,impressive form factor really good balance size weight power many powerful options components use size fine job screen brightness major concern mine ordering since brightness wasn disclosed anywhere surprise appears nits far exceeds nits eyes measurefans shut idle low speed setting small tasks makes excellent ultrabook game device speakers need tuning thx software deal wish good box working think dialed welloverall desire like mine superb build quality lots things right small package capable gaming good option keep mine,4.5 out of 5 stars,Yes,"Reviewed in the United States on June 18, 2021","{'neg': 0.014, 'neu': 0.736, 'pos': 0.249, 'compound': 0.9941}",0.9941,positive,4.5,2021-06-18,United States
Kenneth Cramer,excellent portable gaming,write review anyone fence purchasing since really confused personal favourite alienware razer blade ryzen love razer peripherals use blackwidow v tkl deathadder v pro setup decision base several factors like trading thunderbolt usb c missing ethernet port external gpu future upgrades answer questions hopefully help someone first usb c not huge trade gen supports gbps plenty kind connection high poll rate gaming keyboards mice k gaming monitor docking station read many articles gaming use docking station frankly not egpu enclosure doubled dock none support gaming still connect gaming kb mouse usb c dock takes care major problem use usb c dp connect samsung chgx hz monitor able refresh rate without problems hdmi port also obviously work monitors hooked laptopthe nd fhd acer rhy dock connected use usb c port connect keyboard charging wired connectivity razer goliathus extended gaming pad chroma fifine microphone also use usb ports supports gbps bandwidth connect kb da mouse wirelessly ghz intend carry around essentially use desktop replacement given configuration pretty clean setupjust add rtx place win need egpu enclosure anytime sooni specifically provided device names look specifications ensure indeed supported look similar setupabout components screen brilliant high refresh rate awesome keyboard also pretty good although use mech kb time mention glass touchpad use mbp work come mouse pad never come across windows match touchpad quality razer blade pretty much nailed time absolutely brilliant feel premium multi finger gesture use finger scrolling lot flawless components tons reviews want mention thing personal experience absolutely love anyone upgrading new gaming also looks premium not scream gaming ,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.016, 'neu': 0.88, 'pos': 0.104, 'compound': 0.9921}",0.9921,positive,5.0,2021-07-07,United States
Assault Kittens,best inch world,sell macbook best decisions lifeif use macbooks years switching windows laptops razer place apple level build quality fantastic overall aestheticsthe performance model phenomenal trade fan noise battery life,1.0 out of 5 stars,Yes,"Reviewed in the United States on June 18, 2021","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.8779}",0.8779,positive,1.0,2021-06-18,United States
Assault Kittens,great till wasn,start excellent screen looked great track pad great start download games wifi go bluetooth still worked wifi call razer sent email troubleshoot email find really razer spend job not buy another razer possession hours way back amazon better customer service saved,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.027, 'neu': 0.788, 'pos': 0.185, 'compound': 0.9377}",0.9377,positive,5.0,2021-07-07,United States
Tanmay,solid,pros keyboard razer laptops still keyboard type fastest also per key rgb steady watts razer promissed delivers game gpu pulls steady watts throughout gameplay compare g promissed watts carefully manage cpu wattage g usually delivers around watts watts gpu temps never exceed c battery life delivers updated graphics drivers keyboard light screen lowest brightness power saving mode hrs video streaming youtube make sacrifices manage power draw day battery overall gameplay really really good high lows screen touchpad low latency makes scrolling around heavenly smooth experience cpu cores hit nearly ghz boost razer synapse allow run nearly watts build quality amazing feel solid hands flex whatsoever breath lbscons not come gan charger razer sending influencers product cpu not cooled see hit c often hovers around game ram awfully low bandwidth seems work games not issue ram benchmarks pretty disappointing especiallly considered not replacedoveralla gaming work hobbies gaming seamless transitions desk cons listed relatively small issues face pros cover important things give ,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 1, 2021","{'neg': 0.035, 'neu': 0.888, 'pos': 0.077, 'compound': 0.8526}",0.8526,positive,5.0,2021-01-07,United States
XG Zepto,golden standard,weighing options desktop razer considerations work tech field sr engineer draw apple like quality razer confirm say truepros packaging mostly still tell discreet indicator high gaming internal packing protected compartmentalized packed highest level care device peripherals flawless appearance performance actually good win gaming desktop couple years instead usb c dock need egpu razer fact speculate egpu setup process amazing combo since heat buildup igpu offloaded external device little bloatware fps games like cyberpunk ultra pyscho including ray tracing produces average frames per second use native resolution e sports world isn viable e sports titles aren competitively played ultra setting resolution adds frames turn ray tracing medium balanced dls fps games like cyberpunk prefer play ultra plush eye gasmic settings rpg fps fps playable build g synchonestly razer compelled desktop gaming nerd buy tiny gorgeous gaming applaud razer managed accomplish bring market,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.026, 'neu': 0.864, 'pos': 0.109, 'compound': 0.9745}",0.9745,positive,5.0,2021-07-07,United States
XG Zepto,small powerful device,review base daily driver week meant gaming media consumption machine use machine docked external keyboard monitor day desk use standard unplugged nightthe tldr high quality device flaws flaws mention admittedly nitpicky sideat day sure many laptops match razer blade performance specs lower price cost build quality important choose use portable device highly recommend want high powered portable machine razer blade pros handles next gen gaming qhd flawlesslyi able play competitive games high max setting framerates around fps halo infinite multiplayer beta performance extended gameplay sessions hours popular games aren demanding risk rain stay fps around fps range basically anything come years expect high frame rates maximum settings great temperaturesgaming laptops run hot pushed expected machine able maintain good temps gaming long periods unplugged able use machine basic streaming browsing without creating heat apple level build qualitythis essentially black macbook crazy specs inside feel really solid sturdy device nice heft trackpad reminiscent macbook track pad good thing clicks good feedback responsive nice matte texture great displaynothing much say colors screen good didn much issue play games use build screen though much experience external monitor screen perfect media consumption great battery lifethe battery lasts around hours streaming media browsing screen brightness rgb keyboard dimmer level like keep looks cool like laptops expect battery life long run games resource heavy program like video editor compiling run codecons shallow keyboardits decent keyboard lacks travel keyboards past doesn come tactile not problem use attached external mechanical keyboard monitor razor softwarein past call bloat razor seemed improved software straightforward listed software insistent create razor account use lot important feature fan speeds performance tuning locked software,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 23, 2021","{'neg': 0.015, 'neu': 0.82, 'pos': 0.165, 'compound': 0.9984}",0.9984,positive,5.0,2021-07-23,United States
Kenneth Cramer,king ,heat hot cpu gpu normal temps exterior top keyboard really hotgaming plugged not games functioning world warcraft older games farbattery minimum hrs regular work use communicators chrome tabs open instances run messenger vlc video playback hrs vlc youtube onlykeyboard personal preference like silent clicky mushy compare regular mechanical keyboardsusb c charging w charger takes hrs charge still tested use w charger expect around hour prompt need powerbrightness really bright makes wonder better outdoors thnk nits something xps boasts around nits great outdoorsoverall really happy choosing g want g felt cheap corny see person personal preference not really make sense,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 20, 2021","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.9854}",0.9854,positive,5.0,2021-07-20,United States
Michael,finally, beat punch mbp style thick bad boy beast save premier low grab sweet spot happy runs hot not hot runs not games also makes killer devops box corp machine happy best greatest size owned,1.0 out of 5 stars,Yes,"Reviewed in the United States on November 27, 2021","{'neg': 0.096, 'neu': 0.668, 'pos': 0.236, 'compound': 0.9453}",0.9453,positive,1.0,2021-11-27,United States
Brandon Relaz,great ,overall experience greatbuild quality awesomergb keyboard lighting perfectscreen qhd good not crazy bright good enoughperformance goodcooling balanced settings quiet crank fans maximum bit noisy still acceptable annoying people thoughcpu runs bit hot balanced mode gaming valhalla maximum settings ambient temperature maximum fan mode temp drops keyboard mediocre key travel less feel bit mushy still not badi didn measure battery life looks ok drop refresh rate screen resolution brightness good results probably hoursvery portablepricy recommended budget,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 19, 2021","{'neg': 0.062, 'neu': 0.77, 'pos': 0.168, 'compound': 0.9509}",0.9509,positive,5.0,2021-07-19,United States
